NumPy+F64+JIT+N,NumPy+F64+JIT+U,NumPy+F64+no-JIT+N,NumPy+F64+no-JIT+U,NumPy+F32+JIT+N,NumPy+F32+JIT+U,NumPy+F32+no-JIT+N,F32+no-JIT+U,Original
66.0035512530012,59.39569614499851,72.83464656800061,78.46530800600158,57.84997295699941,50.40716121999867,65.23712274799982,74.23396960899845,99.18432421200123
59.60181050599931,58.84865575999902,73.5153271909985,77.71926460000032,51.11572317100217,51.68095935199926,65.87932215699766,69.05380190099822,96.2177372039987
58.58779456499906,60.17799521699999,72.24036296800114,76.48943394099842,53.125375741001335,50.68712085600055,63.68150014099956,70.62762129800103,97.91489527099839
58.85952322599769,57.17545549600072,70.94913329599876,74.59476733200063,50.12338968599943,49.94596497299972,66.09807841099973,70.37529863600139,97.48743011400074
59.89408369100056,58.3572630689996,74.2454887490021,79.94686398400154,49.5616678189981,50.0510958649993,64.05555223999909,68.61706293699899,94.26600755399704
58.04629661000217,58.21017716800088,72.38337442599732,76.9450379689988,50.28825240899823,51.68989007699929,70.33481898300306,71.15092039799856,101.8261614740004
57.98886710899751,59.62146471599954,73.5608682480015,75.75134339599754,49.72812420600167,48.78720945499845,64.00659244399867,74.3487572390004,96.49721431900252
61.0834127249982,59.55863999400026,71.11316797299878,77.38796698200167,49.70765591500094,51.302157309000904,65.26153566400171,69.03941316600321,93.2333190160025
57.56389836199742,58.61257242799911,76.03605217400036,81.51463679500011,49.46684633699988,50.70212174699918,65.3076346300004,73.16192999900159,96.29209193600036
57.79408841199984,59.91734557000018,75.45678738900097,75.35742244300127,49.9262340230016,50.80911813900093,68.80818102799822,73.60895541399805,101.21788306000235
59.31006175099901,60.77001634200133,73.72711820800032,78.0622101279987,49.07908849600062,49.51343664600063,66.63500067700079,68.83445203800147,96.97272199299914
